"sound.files","selec","start","end","bottom.freq","top.freq","distance","signal.type","duration","frequency.modulation","amplitude.modulation","transect","site","frequency","treatment.replicates","reference","blur.ratio","envelope.correlation","excess.attenuation","SPL","signal.to.noise.ratio.t2","signal.to.noise.ratio","cross.correlation","spectral.blur.ratio","spectrum.correlation","tail.to.noise.ratio","tail.to.signal.ratio"
"200303-026.wav_895",1,0.04,0.140022675736994,3.511,4.562,30,"0.1_fm_no.am_no.harm_54_mx","short","fm","no.am","mx3","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_895-1",0.0756958214354511,0.945005677250681,7.11231017573224,54.2561180243769,9.62499587876386,12.1032013866488,0.800977018709284,0.027191920142465,0.754244876918831,1.88087746073511,-12.0260121974521
"200303-027.wav_895",1,0.04,0.140022675736994,3.511,4.562,30,"0.1_fm_no.am_no.harm_54_mx","short","fm","no.am","mx3","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_895-1",0.166616554301023,0.820785858996497,7.20685509995322,53.7281483257847,9.06213587643902,11.6834955645842,0.731991540747276,0.091528275131414,0.540078182936627,5.91473924042653,-5.4098594816825
"200303-000.wav_896",1,0.04,0.140022675736,4.983,6.01,1,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx1","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",NA,NA,NA,57.6170980206662,20.7318321400591,21.495645823203,NA,NA,NA,-4.57809369198916,-36.7732601556047
"200303-001.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx1","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.138461339055173,0.864850904778498,20.1018381969897,51.5610077018105,-6.35566255241006,3.41156755538273,0.842429707066341,0.107316817653921,0.940187756125981,-5.6962685577313,-14.5289175299106
"200303-009.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx1","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.177756895899005,0.733122088380245,33.3909937772619,52.6157150816677,NA,-2.51275420229945,0.61653893192675,0.0661448592151268,0.639263828937253,0.0591259674247363,-2.20475356575899
"200303-011.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx2","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.203838198741593,0.74006727777853,23.1547938486531,54.4173757139811,-7.4927308459623,3.05829468080441,0.669663225453482,0.126523730953993,-0.0537171089199672,-4.81655030032108,-7.59835360436424
"200303-012.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx2","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.126071319787079,0.843851133668113,14.8250745550717,53.9024173301968,-36.2041346586459,0.133434289140974,0.77722437827603,0.0700462143619813,0.898594118922202,-4.72679087448488,-5.34458633400949
"200303-026.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx3","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.164875938940052,0.768878573050887,33.1564687592148,53.4835630038402,NA,-1.70557567617886,0.648609863832414,0.116786619175846,0.366431435794315,0.579099942775767,-1.74580040124836
"200303-027.wav_896",1,0.04,0.140022675736,4.983,6.01,30,"0.1_fm_no.am_no.harm_55_mx","short","fm","no.am","mx3","Mexico_DF",5.5,"frq:_5.5_dur:_short_no.am_fm","200303-000.wav_896-1",0.175255761931696,0.688607181796206,23.9670768142375,53.7204771307652,NA,-2.68571227820081,0.707084152694798,0.0637041844075835,0.487152112724206,-6.60499748553415,-2.84114599811242
"200303-000.wav_897",1,0.04,0.140022675736,1.168,2.06,1,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx1","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",NA,NA,NA,58.0919859876084,43.7145213542152,43.7709729450565,NA,NA,NA,-3.3524143148247,-40.6311715385645
"200303-001.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx1","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.100225144738495,0.931494785979574,7.16471801423103,55.3717218607071,11.4246534203907,13.489713834397,0.780899379612717,0.0196928541342281,0.750838750114446,3.77024157921075,-11.4855108527067
"200303-009.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx1","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.0852114489874302,0.948997404735107,3.64356055633104,56.4790544826375,10.9743208028664,13.1366382404132,0.686085244228488,0.0508894933758176,0.846567059240479,-0.363572315400464,-11.3330728055043
"200303-011.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx2","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.252193776115178,0.696780244035939,13.3406786592585,53.6067463393402,16.4823780442914,17.6957867199077,0.836740337042603,0.101468551967959,0.461175682157423,-0.641342821307489,-17.7804021852706
"200303-012.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx2","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.127324811662827,0.903090599983405,6.43021400052601,55.6857876502981,19.7158900891603,20.5699594194504,0.815571321268549,0.044678417682474,0.928827450648569,-0.856608445315892,-19.8137064824121
"200303-026.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx3","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.144793533857972,0.892941398353604,8.6720458793351,54.6720450733441,9.81916128535448,12.2495741596805,0.740347278056614,0.0584924813990277,0.58541312913135,-4.34737604131426,-12.5327339618207
"200303-027.wav_897",1,0.04,0.140022675736,1.168,2.06,30,"0.1_fm_no.am_no.harm_56_mx","short","fm","no.am","mx3","Mexico_DF",1.5,"frq:_1.5_dur:_short_no.am_fm","200303-000.wav_897-1",0.101866134555186,0.909229090240436,3.09970940073716,56.7360252721385,20.0707869778725,20.8922292867111,0.794714149408246,0.0620925611067593,0.891163327565754,-2.11309762072695,-15.0739035274242
"200303-000.wav_898",1,0.04,0.140022675737023,5.895,6.947,1,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx1","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",NA,NA,NA,58.571658221329,45.7851794102539,45.8296878275169,NA,NA,NA,5.2967082834725,-33.5733005166142
"200303-001.wav_898",1,0.04,0.140022675736994,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx1","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.0963904803871333,0.904151659982386,22.6674124357805,53.4261376191033,8.54580408084285,11.3046579881441,0.840559631397127,0.0836389761125236,0.966297247755662,6.22550573308893,-10.1332983408099
"200303-009.wav_898",1,0.04,0.140022675736994,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx1","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.18767838843101,0.731685975662447,40.9112567762551,52.4040091946642,-12.3118966055965,1.88473160380785,0.77224482720017,0.114128313937159,0.626336262037442,-5.50376359052037,-6.28934886248152
"200303-011.wav_898",1,0.04,0.140022675737023,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx2","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.199978448932917,0.811885534844417,27.4414731780039,52.0836017602779,4.61364399215137,8.63021315307197,0.749330498046042,0.188470610032345,0.715541652330095,0.638830843034976,-10.610036396445
"200303-012.wav_898",1,0.04,0.140022675736994,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx2","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.0891755969059728,0.918423055163125,20.0230988162107,53.2812675675349,6.65126043379497,9.9679115202759,0.820922702462136,0.130596784931003,0.969801187994432,4.15996474397767,-7.16317298448008
"200303-026.wav_898",1,0.04,0.140022675736994,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx3","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.195758099325929,0.752358877482691,38.1719361420799,53.6667763708702,-6.75890110088255,3.28263042089478,0.782479564267944,0.031224379057927,0.851903464785035,-0.429020690152974,-1.98895448669602
"200303-027.wav_898",1,0.04,0.140022675736994,5.895,6.947,30,"0.1_fm_no.am_no.harm_57_mx","short","fm","no.am","mx3","Mexico_DF",6.5,"frq:_6.5_dur:_short_no.am_fm","200303-000.wav_898-1",0.253215875261991,0.637671180412733,34.4781850168665,52.3514544349977,-3.78979733829657,4.33077613360595,0.700288255659198,0.0642766012217058,0.751074420142885,4.20065639295155,-2.27389464673629
"200303-000.wav_899",1,0.04,0.140022675736966,1.38,2.136,1,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",NA,NA,NA,58.6877932230513,42.8692409814713,42.9314418299189,NA,NA,NA,-2.90630219940643,-40.7077714632547
"200303-001.wav_899",1,0.04,0.140022675736994,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.136820592983184,0.861531102941672,4.95219876485157,56.5316345940098,9.36341705448759,11.907290844407,0.819786185746237,0.0204602453080681,0.931522760888331,-5.10540310486785,-18.3558296037049
"200303-009.wav_899",1,0.04,0.140022675736994,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.118263454945519,0.862518791525574,5.35907196084822,56.3109815385713,9.93337140781232,12.3360468011699,0.718642232620458,0.0108159285649333,0.906522502286598,-1.15546315959023,-12.7286387999082
"200303-011.wav_899",1,0.04,0.140022675736966,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx2","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.132603315893242,0.890090738714746,37.067720928554,42.837297283584,9.78865647150404,12.2265246628998,0.833137870533317,0.0559876257088825,0.92152682523708,33.3160550627266,15.4571273834626
"200303-012.wav_899",1,0.04,0.140022675736994,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx2","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.0932028780764976,0.93337217973175,5.23564172135243,56.237890452128,18.3592236358305,19.3497254760321,0.854643923049323,0.0248731859648527,0.967262538119371,1.21542905816261,-16.9136196538424
"200303-026.wav_899",1,0.04,0.140022675736994,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx3","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.121462810263489,0.896331236467589,4.69215623301004,56.5698319418586,9.9538270597026,12.3515636335171,0.827135016263018,0.0358099149992566,0.960754683742743,-1.08419870032482,-17.2063889946448
"200303-027.wav_899",1,0.04,0.140022675736994,1.38,2.136,30,"0.1_fm_no.am_no.harm_58_mx","short","fm","no.am","mx3","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_899-1",0.112802626447216,0.871191908935608,4.79575674964165,56.3181374654311,17.5126361314902,18.5984477011992,0.745727596076954,0.0186090977458127,0.928283199387175,-3.7601733706661,-15.6460830551949
"200303-000.wav_900",1,0.04,0.140022675737023,7.021,8.197,1,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx1","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",NA,NA,NA,58.6949310973574,57.5894225641993,57.6008791900881,NA,NA,NA,-3.20816442429351,-34.0108551110865
"200303-001.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx1","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.0932907791012181,0.916839505585042,22.8978564332347,52.3632149409711,26.5052072450016,26.9065195797142,0.816393467654856,0.0460301198484429,0.828791919129504,-2.14393561087147,-22.5196170339677
"200303-009.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx1","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.168309758022324,0.81525569117278,41.0771264608503,52.7398793304211,2.35848572247074,7.27964822024355,0.628816308030901,0.111030203030088,0.538920145413889,-1.96544261846857,-9.71875802302189
"200303-011.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx2","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.147080528130013,0.825790126825363,82.0765848688939,40.1860044503605,4.27840550296336,8.42060846620788,0.742697199563818,0.106853352539939,0.713802349504622,1.69977340880567,-9.90280839512214
"200303-012.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx2","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.136263654256566,0.871063258319905,27.3373484882698,52.9590672231285,11.8451880720417,13.8229461476662,0.734900379493473,0.128968509178453,0.817954731593054,-1.17969249237468,-16.2461856085468
"200303-026.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx3","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.100756104384477,0.899084927335566,42.1463451958403,52.2568561626887,9.59350260486545,12.0795360907523,0.776993172937948,0.0516141597847241,0.895751091868029,2.03623232953935,-10.7119805937196
"200303-027.wav_900",1,0.04,0.140022675737023,7.021,8.197,30,"0.1_fm_no.am_no.harm_59_mx","short","fm","no.am","mx3","Mexico_DF",7.5,"frq:_7.5_dur:_short_no.am_fm","200303-000.wav_900-1",0.112322936477937,0.867299153456056,37.8123309819414,52.9345566849865,8.95401317236071,11.6036698592114,0.658929905587686,0.0597998904951616,0.710070342571887,5.75225271105212,-4.41295052059263
"200303-000.wav_847",1,0.04,0.140022675736966,4.171,4.839,1,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx1","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",NA,NA,NA,58.010626582165,49.9853202660087,50.0127904367252,NA,NA,NA,-3.20298963311084,-35.0988289028244
"200303-001.wav_847",1,0.04,0.140022675736994,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx1","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.212439445970682,0.797843411633447,16.9865578580399,53.6809569869148,15.7664532975758,17.0766179809482,0.851269911435539,0.0958769495866196,0.816054243877387,-7.41477023507966,-21.1560685267387
"200303-009.wav_847",1,0.04,0.140022675736994,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx1","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.121706456241059,0.849423746359415,32.343912685739,51.0332453395231,-4.33865932841017,4.11939855998653,0.70429290602715,0.026687790652137,0.827500436491132,-0.37451265558412,-7.04817210502863
"200303-011.wav_847",1,0.04,0.140022675737023,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx2","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.257722206380446,0.689416219730666,26.0087818346326,52.4192615892942,7.49944846713847,10.5557499697284,0.732797843969862,0.103754264023891,0.724135321633442,0.474467394657846,-11.9656143413387
"200303-012.wav_847",1,0.04,0.140022675736994,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx2","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.135246387466499,0.838467022270686,11.5676194640104,54.113512110227,11.2474753379259,13.350329164552,0.860642168991963,0.0448583279848567,0.909349179036913,-0.802052354617712,-12.7755298926491
"200303-026.wav_847",1,0.04,0.140022675736994,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx3","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.0925115599420994,0.904627705529767,20.0944958157649,52.8857512956035,4.77505149874245,8.73220942658476,0.814372882308746,0.0301303039507298,0.952122600173115,4.87510338562737,-4.92245488560453
"200303-027.wav_847",1,0.04,0.140022675736994,4.171,4.839,30,"0.1_fm_no.am_no.harm_6_mx","short","fm","no.am","mx3","Mexico_DF",4.5,"frq:_4.5_dur:_short_no.am_fm","200303-000.wav_847-1",0.15557052642605,0.725140031442766,13.3928214000747,54.3661554833705,10.2241542376749,12.5574470360902,0.771026596122711,0.0670983745573884,0.936172776984053,2.00422790198042,-7.96800410878749
"200303-000.wav_901",1,0.04,0.140022675736966,3.466,4.218,1,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx1","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",NA,NA,NA,58.5594361241027,48.2796874185803,48.3131064756326,NA,NA,NA,-0.549769638324426,-36.9567271663946
"200303-001.wav_901",1,0.04,0.140022675736994,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx1","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.122984781631072,0.910147473602854,14.0178448097752,54.1011556071827,22.5906644138195,23.2124542405077,0.739720859891289,0.0353611435101858,0.528286756427871,3.18864136315069,-17.0644869496677
"200303-009.wav_901",1,0.04,0.140022675736994,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx1","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.176162508247369,0.852251772708005,28.5214570396397,50.6941987827366,6.77053983013577,10.0495089993693,0.619731058099746,0.0596312198077669,0.909602479728388,2.38273237754894,-8.85506072897961
"200303-011.wav_901",1,0.04,0.140022675737023,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx2","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.215773995144257,0.80466297183256,12.9307359497379,54.6171067751285,9.79768065136864,12.2333412899004,0.834287886038863,0.109067485275537,-0.560816462094848,6.08024248669118,-8.94054271283258
"200303-012.wav_901",1,0.04,0.140022675736994,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx2","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.114172296082724,0.924634219067254,22.3667441678272,52.030952823951,16.1675860847342,17.4226898648976,0.813595336536793,0.0252198898859726,0.749319513317737,1.3303230301865,-15.5787022605659
"200303-026.wav_901",1,0.04,0.140022675736994,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx3","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.0888374778559984,0.929972896432006,16.2736653284102,54.1941127742938,7.94998095353249,10.8750623580808,0.733928278729207,0.0286599017721129,0.693351182243156,2.16292661558214,-9.99456126578009
"200303-027.wav_901",1,0.04,0.140022675736994,3.466,4.218,30,"0.1_fm_no.am_no.harm_60_mx","short","fm","no.am","mx3","Mexico_DF",4,"frq:_4_dur:_short_no.am_fm","200303-000.wav_901-1",0.147470306873543,0.862059429827829,11.643267921014,54.2426505870881,15.2307063634368,16.6179017953775,0.645167834630059,0.0244213789840267,0.577235313366689,3.09128558769818,-8.48397310632846
"200303-000.wav_848",1,0.04,0.140022675737023,2.097,2.961,1,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx1","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",NA,NA,NA,57.7910093010878,38.9516587423216,39.0491111965096,NA,NA,NA,-6.30196604129845,-39.404472428584
"200303-001.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx1","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.173014276854309,0.849974296777663,4.10674251642151,56.0452803017821,11.9267830007851,13.8879875183273,0.85403314621302,0.0211052029734012,0.903918489524166,-4.40338648192556,-16.7709171655053
"200303-009.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx1","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.251013063378793,0.619812426841207,11.1322219237286,54.1824104474443,0.0450644353208368,6.04316135651649,0.794720757002551,0.0449965309744144,0.975719366482824,1.22729899980348,-6.58442879951757
"200303-011.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx2","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.230713054847351,0.729426671340923,14.325705960286,52.872844914057,12.1060004982764,14.0312792417837,0.867381428911386,0.0733958870559225,0.662296710145994,0.899021985612216,-15.705545489416
"200303-012.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx2","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.141554320881521,0.868933068982143,6.61780609637888,55.0677927053427,10.8192848294921,13.0160072877224,0.84714310770137,0.051433344910933,0.886904556205883,3.6140165453171,-12.1413845217592
"200303-026.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx3","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.161647148346303,0.84979298469675,6.19885480517393,55.5116772348607,6.36667780280451,9.77466895129322,0.79607073421867,0.0446035490704383,0.876391669070781,3.35710772147706,-7.95576587565359
"200303-027.wav_848",1,0.04,0.140022675737023,2.097,2.961,30,"0.1_fm_no.am_no.harm_7_mx","short","fm","no.am","mx3","Mexico_DF",2.5,"frq:_2.5_dur:_short_no.am_fm","200303-000.wav_848-1",0.185260144297761,0.793776313956083,6.68659842863883,54.8400505497612,12.0663428238666,13.9995203036993,0.757721053690391,0.0652244609603225,0.931555275957234,-4.03734986415792,-14.7079321974542
"200303-000.wav_849",1,0.04,0.140022675737023,9.181,10.033,1,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx1","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",NA,NA,NA,56.0812200729443,52.6013308744435,52.6216656458563,NA,NA,NA,-15.9594706759616,-39.2555203669191
"200303-001.wav_849",1,0.04,0.140022675736994,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx1","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.140090289840936,0.896029063435341,38.3083749462096,51.7634157152615,13.383022145453,15.0689305421619,0.744272341055877,0.015100761379414,0.453782244987284,-7.66163155593253,-15.9932488352086
"200303-009.wav_849",1,0.04,0.140022675736994,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx1","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.138987244968893,0.750475486282849,62.6909368331096,53.2205347703637,-3.12096853748375,4.59954426499254,0.484215310461829,0.0266855697909872,0.497083035860102,3.05206462138958,-0.018756433201622
"200303-011.wav_849",1,0.04,0.140022675736966,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx2","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.224863852391361,0.584780753148498,52.7893353719124,52.5897746064148,-22.6235482211279,0.619522081577746,0.180926741856514,0.03499441393062,0.482764695144846,-1.82228487628486,-2.49761156493733
"200303-012.wav_849",1,0.04,0.140022675736994,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx2","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.122930896875288,0.821612025483143,64.3838179711443,50.8004973833248,-8.7850370054215,2.69440267302806,0.301688415825247,0.0655155131489831,0.635971164759078,5.65332427451482,1.85505872507196
"200303-026.wav_849",1,0.04,0.140022675736994,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx3","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.08747084518742,0.918372186209324,46.2860139420748,52.5936076180316,7.80906197972398,10.7746690870487,0.728524446736506,0.0994236650252736,0.789453268440614,-8.51208144453406,-12.7979605660263
"200303-027.wav_849",1,0.04,0.140022675736994,9.181,10.033,30,"0.1_fm_no.am_no.harm_8_mx","short","fm","no.am","mx3","Mexico_DF",9.5,"frq:_9.5_dur:_short_no.am_fm","200303-000.wav_849-1",0.125392352817581,0.883362617228371,58.5954935839915,52.7285104143385,-1.86910121058144,5.13622867543038,0.625535260427764,0.0404449232915277,0.659267081232818,-4.14913138192495,-9.33387349241619
"200303-000.wav_850",1,0.04,0.140022675737023,1.849,2.506,1,"0.1_fm_no.am_no.harm_9_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_850-1",NA,NA,NA,58.8620759154143,35.9479329706758,36.0853302705281,NA,NA,NA,-1.67272035949787,-40.2681801401921
"200303-001.wav_850",1,0.04,0.140022675736994,1.849,2.506,30,"0.1_fm_no.am_no.harm_9_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_850-1",0.087433314406135,0.937446892214314,10.9983839955303,54.760233982648,7.48605630787556,10.5463324576505,0.770670170689851,0.0437344555019702,0.787149508964424,-0.739697135224727,-8.7396472756287
"200303-009.wav_850",1,0.04,0.140022675736994,1.849,2.506,30,"0.1_fm_no.am_no.harm_9_mx","short","fm","no.am","mx1","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_850-1",0.0966006234667706,0.843601614968729,16.660715273464,52.5134581684574,-1.88236299211087,5.13031099094228,0.700919571592372,0.0712608631239002,0.878745322727029,1.11277959731057,-6.08541279543801
"200303-011.wav_850",1,0.04,0.140022675737023,1.849,2.506,30,"0.1_fm_no.am_no.harm_9_mx","short","fm","no.am","mx2","Mexico_DF",2,"frq:_2_dur:_short_no.am_fm","200303-000.wav_850-1",0.13003521242051,0.926660298791106,7.06203723783984,56.2345194004841,9.99056088891778,12.3794505620354,0.882228880320907,0.07223922945697,0.849655138314355,4.35904475372456,-12.7960158492481
