"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-018.wav_737",1,0.04,0.140022675736994,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",0.902575695817812
"200303-019.wav_737",1,0.04,0.140022675736994,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",1.04177797926326
"200303-024.wav_737",1,0.04,0.140022675736966,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",1.07530495822754
"200303-025.wav_737",1,0.04,0.140022675736994,9.435,15.5655,"0.1_BB_am_harm.wav_16","simulations",NA,"0.1_BB_am_harm.wav_16",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_16","200303-000.wav_737-1",0.972060057290716
"200303-004.wav_738",1,0.04,0.140022675736966,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",1.09732292098186
"200303-008.wav_738",1,0.04,0.140022675736994,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",1.00269258064511
"200303-018.wav_738",1,0.04,0.140022675736994,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",0.960052479948423
"200303-019.wav_738",1,0.04,0.140022675736994,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",1.01399438188303
"200303-024.wav_738",1,0.04,0.140022675737023,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",1.13421361916111
"200303-025.wav_738",1,0.04,0.140022675736994,1.23,3.7875,"0.1_BB_am_harm.wav_17","simulations",NA,"0.1_BB_am_harm.wav_17",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_17","200303-000.wav_738-1",1.10133317636879
"200303-004.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",1.05919650597051
"200303-008.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",0.852482076996676
"200303-018.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",0.949407451991635
"200303-019.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",0.914937514618753
"200303-024.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",1.06340326792294
"200303-025.wav_739",1,0.04,0.140022675737023,0.836,2.469,"0.1_BB_am_harm.wav_18","simulations",NA,"0.1_BB_am_harm.wav_18",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_18","200303-000.wav_739-1",1.00950471026532
"200303-004.wav_740",1,0.04,0.140022675737023,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.20307463424484
"200303-008.wav_740",1,0.04,0.140022675736994,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.03996364255658
"200303-018.wav_740",1,0.04,0.140022675736994,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.04294132383108
"200303-019.wav_740",1,0.04,0.140022675736994,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.10270684583233
"200303-024.wav_740",1,0.04,0.140022675736966,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.0993259178638
"200303-025.wav_740",1,0.04,0.140022675736994,5.718,11.058,"0.1_BB_am_harm.wav_19","simulations",NA,"0.1_BB_am_harm.wav_19",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_19","200303-000.wav_740-1",1.01885059317131
"200303-004.wav_723",1,0.04,0.140022675736966,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.05518801171246
"200303-008.wav_723",1,0.04,0.140022675736994,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.16634140190248
"200303-018.wav_723",1,0.04,0.140022675736994,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.04699031509622
"200303-019.wav_723",1,0.04,0.140022675736994,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.09090328808643
"200303-024.wav_723",1,0.04,0.140022675737023,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.17461711908925
"200303-025.wav_723",1,0.04,0.140022675736994,3.208,6.1035,"0.1_BB_am_harm.wav_2","simulations",NA,"0.1_BB_am_harm.wav_2",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_2","200303-000.wav_723-1",1.10167474022669
"200303-004.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.12043534159468
"200303-008.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.08761941599904
"200303-018.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.08766339535065
"200303-019.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.12988000905271
"200303-024.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.16942961069065
"200303-025.wav_741",1,0.04,0.140022675736,4.792,7.9305,"0.1_BB_am_harm.wav_20","simulations",NA,"0.1_BB_am_harm.wav_20",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_20","200303-000.wav_741-1",1.09439503911635
"200303-004.wav_742",1,0.04,0.140022675736966,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",1.13051152570696
"200303-008.wav_742",1,0.04,0.140022675736994,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",1.14544697952435
"200303-018.wav_742",1,0.04,0.140022675736994,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",0.979500084420274
"200303-019.wav_742",1,0.04,0.140022675736994,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",1.09446584201413
"200303-024.wav_742",1,0.04,0.140022675737023,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",1.15462405438402
"200303-025.wav_742",1,0.04,0.140022675736994,2.461,5.259,"0.1_BB_am_harm.wav_21","simulations",NA,"0.1_BB_am_harm.wav_21",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_21","200303-000.wav_742-1",1.16627156049052
"200303-004.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",1.02891536061825
"200303-008.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",0.875285797041708
"200303-018.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",1.00700473464453
