"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","cross.correlation"
"200303-024.wav_195",1,0.04,0.240022675736903,0.1,0.81,"0.2_BB_no.am_no.harm.wav_14","simulations",NA,"0.2_BB_no.am_no.harm.wav_14",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_14","200303-000.wav_195-1",0.22171447079056
"200303-024.wav_196",1,0.04,0.240022675737003,5.396,6.152,"0.2_BB_no.am_no.harm.wav_15","simulations",NA,"0.2_BB_no.am_no.harm.wav_15",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_15","200303-000.wav_196-1",0.184151904572737
"200303-024.wav_197",1,0.04,0.240022675736903,9.435,10.377,"0.2_BB_no.am_no.harm.wav_16","simulations",NA,"0.2_BB_no.am_no.harm.wav_16",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_16","200303-000.wav_197-1",0.0558846461107341
"200303-024.wav_198",1,0.04,0.240022675737003,1.23,2.525,"0.2_BB_no.am_no.harm.wav_17","simulations",NA,"0.2_BB_no.am_no.harm.wav_17",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_17","200303-000.wav_198-1",0.554592771466103
"200303-024.wav_199",1,0.04,0.240022675737003,0.836,1.646,"0.2_BB_no.am_no.harm.wav_18","simulations",NA,"0.2_BB_no.am_no.harm.wav_18",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_18","200303-000.wav_199-1",0.537327705083737
"200303-024.wav_200",1,0.04,0.240022675736903,5.718,7.372,"0.2_BB_no.am_no.harm.wav_19","simulations",NA,"0.2_BB_no.am_no.harm.wav_19",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_19","200303-000.wav_200-1",0.0841045857809424
"200303-024.wav_201",1,0.04,0.240022675737003,4.792,5.287,"0.2_BB_no.am_no.harm.wav_20","simulations",NA,"0.2_BB_no.am_no.harm.wav_20",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_20","200303-000.wav_201-1",0.320167510109302
"200303-024.wav_202",1,0.04,0.240022675737003,2.461,3.506,"0.2_BB_no.am_no.harm.wav_21","simulations",NA,"0.2_BB_no.am_no.harm.wav_21",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_21","200303-000.wav_202-1",0.60111659186596
"200303-024.wav_203",1,0.04,0.240022675736889,0.365,1.098,"0.2_BB_no.am_no.harm.wav_22","simulations",NA,"0.2_BB_no.am_no.harm.wav_22",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_22","200303-000.wav_203-1",0.319758742969052
"200303-024.wav_204",1,0.04,0.240022675736989,7.176,7.777,"0.2_BB_no.am_no.harm.wav_23","simulations",NA,"0.2_BB_no.am_no.harm.wav_23",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_23","200303-000.wav_204-1",0.378143038969082
"200303-024.wav_205",1,0.04,0.240022675736903,3.654,5,"0.2_BB_no.am_no.harm.wav_24","simulations",NA,"0.2_BB_no.am_no.harm.wav_24",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_24","200303-000.wav_205-1",0.569325260009878
"200303-024.wav_206",1,0.04,0.240022675737003,8.5,9.652,"0.2_BB_no.am_no.harm.wav_25","simulations",NA,"0.2_BB_no.am_no.harm.wav_25",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_25","200303-000.wav_206-1",0.0476146083510579
"200303-024.wav_207",1,0.04,0.240022675737003,4.933,6.011,"0.2_BB_no.am_no.harm.wav_26","simulations",NA,"0.2_BB_no.am_no.harm.wav_26",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_26","200303-000.wav_207-1",0.320915303534944
"200303-024.wav_208",1,0.04,0.240022675736889,9.013,10.015,"0.2_BB_no.am_no.harm.wav_27","simulations",NA,"0.2_BB_no.am_no.harm.wav_27",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_27","200303-000.wav_208-1",0.0221776228050691
"200303-024.wav_209",1,0.04,0.240022675736989,3.624,4.12,"0.2_BB_no.am_no.harm.wav_28","simulations",NA,"0.2_BB_no.am_no.harm.wav_28",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_28","200303-000.wav_209-1",0.564303129946901
"200303-024.wav_210",1,0.04,0.240022675736903,5.027,5.695,"0.2_BB_no.am_no.harm.wav_29","simulations",NA,"0.2_BB_no.am_no.harm.wav_29",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_29","200303-000.wav_210-1",0.292286619477085
"200303-024.wav_211",1,0.04,0.240022675737017,4.788,5.593,"0.2_BB_no.am_no.harm.wav_30","simulations",NA,"0.2_BB_no.am_no.harm.wav_30",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_30","200303-000.wav_211-1",0.196067491990703
"200303-024.wav_212",1,0.04,0.240022675737017,8.076,9.5,"0.2_BB_no.am_no.harm.wav_31","simulations",NA,"0.2_BB_no.am_no.harm.wav_31",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_31","200303-000.wav_212-1",0.0567169196159117
"200303-024.wav_213",1,0.04,0.240022675736903,3.158,4.333,"0.2_BB_no.am_no.harm.wav_32","simulations",NA,"0.2_BB_no.am_no.harm.wav_32",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_32","200303-000.wav_213-1",0.712290855770879
"200303-024.wav_214",1,0.04,0.240022675736989,5.941,7.32,"0.2_BB_no.am_no.harm.wav_33","simulations",NA,"0.2_BB_no.am_no.harm.wav_33",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_33","200303-000.wav_214-1",0.163350073857884
"200303-024.wav_215",1,0.04,0.240022675736989,6.838,7.5,"0.2_BB_no.am_no.harm.wav_34","simulations",NA,"0.2_BB_no.am_no.harm.wav_34",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_34","200303-000.wav_215-1",0.0774707972726893
"200303-024.wav_216",1,0.04,0.240022675737017,2.66,3.141,"0.2_BB_no.am_no.harm.wav_35","simulations",NA,"0.2_BB_no.am_no.harm.wav_35",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_35","200303-000.wav_216-1",0.731012711857279
