"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-007.wav_1035",1,0.04,0.248027210883984,1.949,5.8469,"Haemorhous-mexicanus-378922.wav_3","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_3",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_3",13.9825325864729
"200303-007.wav_1036",1,0.04,0.164829931972982,3.4339,7.0534,"Haemorhous-mexicanus-378922.wav_4","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_4",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_4",5.75830653672303
"200303-007.wav_1037",1,0.04,0.175782312924988,2.0418,4.7332,"Haemorhous-mexicanus-378922.wav_5","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_5",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_5",8.81068612382431
"200303-007.wav_1038",1,0.04,0.217369614512997,2.413,6.4965,"Haemorhous-mexicanus-378922.wav_6","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_6",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_6",10.2344949378445
"200303-007.wav_1039",1,0.04,0.142925170068005,2.5986,6.5894,"Haemorhous-mexicanus-378922.wav_7","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_7",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_7",11.9957655488482
"200303-007.wav_1040",1,0.04,0.160453514739012,1.8562,4.0835,"Haemorhous-mexicanus-378922.wav_8","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_8",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_8",17.3082912092541
"200303-007.wav_1041",1,0.04,0.228321995465003,1.5777,4.0835,"Haemorhous-mexicanus-378922.wav_9","Paulina","desierto_abierto","Haemorhous-mexicanus-378922.wav_9",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-378922.wav_9",14.0905579437992
"200303-007.wav_1042",1,0.04,0.136009070294002,2.7047,4.4548,"Haemorhous-mexicanus-469591.wav_1","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_1",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_1",6.5163859559768
"200303-007.wav_1043",1,0.04,0.139115646259008,2.2274,4.0968,"Haemorhous-mexicanus-469591.wav_2","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_2",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_2",13.9223647670697
"200303-007.wav_1044",1,0.04,0.114331065759992,3.1024,4.773,"Haemorhous-mexicanus-469591.wav_3","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_3",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_3",8.58602207376733
